	emotion	valence	arousal
id-1274_AU26-100_AU9-33	anger	-0.10507461363233349	-0.3043540532798626
id-1279_AU1-100_AU10Open-33_AU25-100_AU5-100	disgust	-0.11956766378851742	-0.6657744915496994
id-1279_AU1-100_AU13-66_AU22-100_AU27i-100	surprise	0.14493050156183931	0.004529078173807678
id-1279_AU1-100_AU15-66_AU16Open-66_AU27i-100_AU43-33	surprise	0.33968086303556083	-0.7146885358268201
id-1279_AU1-33_AU10Open-33_AU24-33	happiness	0.2500051151941728	-0.6929489605925442
id-1279_AU1-33_AU14-33_AU26-33	happiness	0.12953163577089388	-0.32065873470556944
id-1279_AU10Open-100_AU24-33	sadness	0.12228511069280193	-0.7011013013053977
id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	happiness	0.5788161906125957	0.15761192044850025
id-1279_AU12-100	happiness	0.5353370401440439	-0.26902724352416424
id-1279_AU12-100_AU15-100_AU26-100	happiness	-0.3831600135041127	0.14674213283136228
id-1279_AU12-33_AU4-100_AU5-66_AU7-33	happiness	0.21467830543847446	-0.29620171256700906
id-1279_AU13-66_AU20-33	happiness	0.1711991549699227	-0.7309932172525271
id-1279_AU17-66_AU20-33_AU24-100_AU27i-66	surprise	0.016304681425707023	0.05616056935521266
id-1279_AU22-33_AU26-33_AU4-33	sadness	0.0842408540328191	-0.5742871124387882
id-1279_AU22-66_AU25-66_AU5-66	surprise	-0.05163149118140525	0.3695727789826902
id-1280_AU1-33_AU15-33_AU20-33_AU25-66	fear	-0.3967472480255351	0.07065361951139666
id-1280_AU1-66_AU17-100_AU26-33	fear	-0.22554809305561271	-0.041667519199028634
id-1280_AU10Open-100_AU14-33_AU24-100_AU27i-33	fear	-0.4646834206326473	0.402182141834104
id-1280_AU11-100_AU26-100_AU27i-100_AU43-66	fear	-0.3750076727912592	0.40489958873838855
id-1280_AU11-33_AU16Open-66_AU25-66_AU7-33	disgust	-0.13043745140565535	-0.1277200045013709
id-1280_AU11-33_AU17-66_AU2-66_AU26-66_AU9-66	fear	-0.1675758924308767	0.21648993670799746
id-1280_AU12-100_AU14-33_AU27i-66_AU4-66	happiness	0.2527225620984573	0.3478332037484143
id-1280_AU13-100_AU17-100_AU4-100	sadness	-0.4157693763555265	0.09511064164995704
id-1280_AU15-100_AU26-66_AU43-66	fear	0.0208337595995144	-0.4864229958669231
id-1280_AU15-33_AU27i-66	surprise	-0.4510961861112248	-0.804364283668208
id-1280_AU20-100_AU27i-66_AU9-33	disgust	-0.20743178036038254	0.14221305465755482
id-1280_AU26-66_AU9-100	fear	-0.7826247084339323	0.23098298686418134
id-1280_AU7-66	surprise	-0.1947503614737216	-0.07518269768520412
id-1285_AU1-66_AU12-100_AU14-66_AU16Open-33_AU24-66	happiness	0.1793514956827761	-0.26449816535035675
id-1285_AU10Open-66_AU17-100_AU9-66	disgust	-0.17482241750896865	0.31975291907080794
id-1285_AU11-100_AU16Open-33_AU27i-33_AU9-100	surprise	-0.06521872570282768	0.21467830543847446
